id,water_level,co2_ppm,soil_moisture,air_temp,air_humidity,door_status,growth_stage,light_status,time_created
153,"NOT EMPTY",1675.00,MOIST,21.50,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
154,"NOT EMPTY",1752.00,MOIST,21.50,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
155,"NOT EMPTY",1786.00,MOIST,21.50,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
156,"NOT EMPTY",1864.00,MOIST,21.50,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
157,"NOT EMPTY",1885.00,MOIST,21.60,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
158,"NOT EMPTY",1892.00,MOIST,21.60,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
159,"NOT EMPTY",1893.00,MOIST,21.60,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
160,"NOT EMPTY",1891.00,MOIST,21.60,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
161,"NOT EMPTY",1892.00,MOIST,21.60,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
162,"NOT EMPTY",1893.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
163,"NOT EMPTY",1858.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
164,"NOT EMPTY",1627.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
165,"NOT EMPTY",1389.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
166,"NOT EMPTY",1208.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
167,"NOT EMPTY",1049.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
168,"NOT EMPTY",1295.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
169,"NOT EMPTY",1564.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
170,"NOT EMPTY",1602.00,MOIST,21.60,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
171,"NOT EMPTY",1512.00,MOIST,21.70,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
172,"NOT EMPTY",1328.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
173,"NOT EMPTY",1159.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
174,"NOT EMPTY",1023.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
175,"NOT EMPTY",935.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
176,"NOT EMPTY",855.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
177,"NOT EMPTY",828.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
178,"NOT EMPTY",788.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
179,"NOT EMPTY",773.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
180,"NOT EMPTY",747.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
181,"NOT EMPTY",724.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
182,"NOT EMPTY",717.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
183,"NOT EMPTY",976.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
184,"NOT EMPTY",1420.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
185,"NOT EMPTY",1681.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
186,"NOT EMPTY",1961.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
187,"NOT EMPTY",1929.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
188,"NOT EMPTY",1695.00,MOIST,21.60,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
189,"NOT EMPTY",1454.00,MOIST,21.70,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
190,"NOT EMPTY",1243.00,MOIST,21.70,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
191,"NOT EMPTY",1136.00,MOIST,21.70,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
192,"NOT EMPTY",1260.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
193,"NOT EMPTY",1526.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
194,"NOT EMPTY",1738.00,MOIST,21.70,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
195,"NOT EMPTY",1794.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
196,"NOT EMPTY",1804.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
197,"NOT EMPTY",1814.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
198,"NOT EMPTY",1819.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
199,"NOT EMPTY",1820.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
200,"NOT EMPTY",1813.00,MOIST,21.90,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
201,"NOT EMPTY",1822.00,MOIST,21.90,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
202,"NOT EMPTY",1835.00,MOIST,21.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
203,"NOT EMPTY",1794.00,MOIST,21.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
204,"NOT EMPTY",1624.00,MOIST,21.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
